,Tên nhà máy,Công suất PLM (MW),Sản lượng (triệu KWh /năm),Khởi công,Hoạt động,Tọa độ,Vị trí xã huyện,Tỉnh
51,BP Solar 1,45.0,74.0,6/2018,1/2019,"11°32′27″B 108°52′23″Đ﻿ / ﻿11,54074°B 108,87294°Đ",xã Phước Hữu huyện Ninh Phước,Ninh Thuận [23]
52,CMX Renewable Việt Nam,168.0,,7/2018,6/2019,"11°42′00″B 108°49′48″Đ﻿ / ﻿11,69987°B 108,82987°Đ",xã Mỹ Sơn huyện Ninh Sơn,Ninh Thuận
53,Gelex Ninh Thuận,50.0,82.0,9/2018,6/2019,"11°26′23″B 108°59′45″Đ﻿ / ﻿11,4396°B 108,99585°Đ",xã Phước Dinh huyện Thuận Nam,Ninh Thuận
54,Hà Đô Ninh Phước,40.0,,6/2020,9/2020,"11°35′20″B 108°51′48″Đ﻿ / ﻿11,58882°B 108,86324°Đ","xã Phước Thái, huyện Ninh Phước",Ninh Thuận [24]
55,Hacom Solar,50.0,75.0,4/2019,10/2019,"11°24′16″B 108°51′16″Đ﻿ / ﻿11,40455358°B 108,8543459°Đ","xã Phước Minh, huyện Thuận Nam",Ninh Thuận
56,Mỹ Sơn 1,50.0,,2018,12/2018,"11°42′10″B 108°53′05″Đ﻿ / ﻿11,70285°B 108,8848°Đ",xã Mỹ Sơn huyện Ninh Sơn,Ninh Thuận [25]
57,Mỹ Sơn 2,50.0,,2019,12/2019,"11°41′09″B 108°48′15″Đ﻿ / ﻿11,68574°B 108,80409°Đ",xã Mỹ Sơn huyện Ninh Sơn,Ninh Thuận
58,Mỹ Sơn Hoàn Lộc Việt,50.0,,2018,12/2018,"11°40′17″B 108°48′39″Đ﻿ / ﻿11,67143°B 108,8109°Đ",xã Mỹ Sơn huyện Ninh Sơn,Ninh Thuận
59,Nhị Hà - Bitexco,50.0,80.0,2018,9/2019,"11°24′40″B 108°48′43″Đ﻿ / ﻿11,4111°B 108,81186°Đ",xã Nhị Hà huyện Thuận Nam,Ninh Thuận
60,Nhị Hà - Thuận Nam 13,50.0,80.0,5/2018,7/2019,"11°27′37″B 108°49′51″Đ﻿ / ﻿11,46036°B 108,83093°Đ",xã Nhị Hà huyện Thuận Nam,Ninh Thuận
61,Ninh Phước 6.1,58.3,,2018,6/2019,"11°31′42″B 108°52′23″Đ﻿ / ﻿11,52843°B 108,87315°Đ",xã Phước Hữu huyện Ninh Phước,Ninh Thuận
62,Ninh Phước 6.2,50.0,,2018,2019,"11°31′59″B 108°52′18″Đ﻿ / ﻿11,53302°B 108,87169°Đ",xã Phước Hữu huyện Ninh Phước,Ninh Thuận
